Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Tasa_aprobacion_1sem,Target_encoded,Application order_outlier,Age at enrollment_outlier,Curricular units 1st sem (credited)_outlier,Curricular units 1st sem (enrolled)_outlier,Curricular units 1st sem (evaluations)_outlier,Curricular units 1st sem (approved)_outlier,Curricular units 1st sem (grade)_outlier,Curricular units 1st sem (without evaluations)_outlier,Curricular units 2nd sem (credited)_outlier,Curricular units 2nd sem (enrolled)_outlier,Curricular units 2nd sem (evaluations)_outlier,Curricular units 2nd sem (approved)_outlier,Curricular units 2nd sem (grade)_outlier,Curricular units 2nd sem (without evaluations)_outlier,Application order_zscore,Age at enrollment_zscore,Curricular units 1st sem (credited)_zscore,Curricular units 1st sem (enrolled)_zscore,Curricular units 1st sem (evaluations)_zscore,Curricular units 1st sem (approved)_zscore,Curricular units 1st sem (grade)_zscore,Curricular units 1st sem (without evaluations)_zscore,Curricular units 2nd sem (credited)_zscore,Curricular units 2nd sem (enrolled)_zscore,Curricular units 2nd sem (evaluations)_zscore,Curricular units 2nd sem (approved)_zscore,Curricular units 2nd sem (grade)_zscore,Curricular units 2nd sem (without evaluations)_zscore,Unemployment rate_zscore,Inflation rate_zscore,GDP_zscore,Tasa_aprobacion_1sem_zscore
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,0.41800263807254256,0.34942803105099524,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.26932734347843207,0.18714410701483747,0.7618385309604151,-0.19941844907550824,0.8761230306454858,-1.1050966355009952,0.34716017872948746,0.827153161323226
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,0.875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,0.6973008620772545,-0.07155852561356744,0.7411839856490767,0.531305323446912,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,-0.016031389492763892,0.850545973548204,0.5726712666332493,-0.19941844907550824,0.42564729746478275,1.787771716840072,-0.7497873179908104,0.48491880738242965
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20714974314939588,-0.5621044160605055,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-2.042399021378109,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,0.42564729746478275,1.787771716840072,-0.7497873179908104,-1.9107216702031449
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.2985239468621722,-0.3007790584692037,-0.10909281556743866,-0.31084417740073506,0.41800263807254256,-0.014326553740838991,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.016031389492763892,0.18714410701483747,0.14773031053599278,-0.19941844907550824,-1.0008591909407751,0.12437241424395824,1.5454321430183269,0.827153161323226
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.5122896543897852,-0.31084417740073506,-0.22836005708052565,0.5386787271926926,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.7759192514497684,0.18714410701483747,0.3396391294186248,-0.19941844907550824,-0.28760594673799583,0.12437241424395824,0.7656742839038984,0.27957819501795195
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5540051270274544,-0.4303141814613389,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,0.09482129049600846,0.5283559619485998,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.26932734347843207,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,1.476757341553089,1.1368763375633317,-1.7894644634767152,0.3708406894021643
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.10909281556743866,0.40701277796076785,-1.197904099810128,0.28060959609037783,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,1.503744334421245,-0.8079586927852125,0.14773031053599278,-0.19941844907550824,-0.28760594673799583,0.12437241424395824,0.7656742839038984,-1.4544091982820833
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20714974314939588,-0.6938946506596722,-0.3007790584692037,0.2941040232549079,-0.07155852561356744,0.7411839856490767,0.5502918380922968,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,-0.016031389492763892,1.1822469068148873,0.8280470734749232,-0.19941844907550824,1.476757341553089,1.1368763375633317,-1.7894644634767152,0.827153161323226
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.4303141814613389,-0.3007790584692037,-0.5122896543897852,-0.07155852561356744,-0.22836005708052565,0.38383724853130374,1.248178472128781,-0.28241038748618436,-0.5610976732159475,-0.016031389492763892,-0.14455682625184585,0.3876163341392828,2.4538964944133594,-0.28760594673799583,0.12437241424395824,0.7656742839038984,0.27957819501795195
1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,0.2941040232549079,-0.31084417740073506,0.41800263807254256,0.21179116112976049,-0.19925050839486966,-0.28241038748618436,0.3496695644679096,-0.016031389492763892,0.5188450402815208,0.6275023577425728,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.43602818539088717
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,0.0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.9683046133262462,-0.2985239468621722,-0.3007790584692037,-2.528273848501518,-1.9858437399109086,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-2.83801576742559,-2.042399021378109,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,-0.17498701344282058,-0.45420125622425517,0.8890258096395143,-1.9107216702031449
1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7294594835030963,-0.4303141814613389,-0.3007790584692037,0.2941040232549079,1.3641553851094383,0.7411839856490767,0.16447848709433624,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,0.23726456449290428,1.1822469068148873,0.22929155856111152,-0.19941844907550824,0.42564729746478275,1.787771716840072,-0.7497873179908104,0.827153161323226
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,0.875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7294594835030963,-0.6938946506596722,-0.3007790584692037,0.6973008620772545,0.8855840815351032,0.7411839856490767,0.45757128598910807,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,0.9971524264499088,0.850545973548204,0.5041324027465952,-0.19941844907550824,0.42564729746478275,1.787771716840072,-0.7497873179908104,0.48491880738242965
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7294594835030963,-0.5621044160605055,-0.3007790584692037,-0.10909281556743866,-0.07155852561356744,0.41800263807254256,0.564485640302924,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.26932734347843207,0.5188450402815208,0.3944702205279484,-0.19941844907550824,-0.17498701344282058,-0.45420125622425517,0.8890258096395143,0.827153161323226
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,0.8571428571428571,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.5621044160605055,-0.3007790584692037,0.2941040232549079,-0.07155852561356744,0.41800263807254256,0.5483133080871794,-0.19925050839486966,-0.28241038748618436,0.8050531833098381,0.23726456449290428,0.850545973548204,0.7453892036276182,-0.19941844907550824,-0.17498701344282058,-0.45420125622425517,0.8890258096395143,0.43602818539088717
1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.10909281556743866,-0.07155852561356744,0.09482129049600846,0.19802747413763708,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,0.9971524264499088,-0.14455682625184585,0.14773031053599278,-0.19941844907550824,-1.4888745685532032,0.9922329199462785,0.14010583195898943,0.3708406894021643
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20714974314939588,-0.2985239468621722,-0.3007790584692037,-0.10909281556743866,0.1677271261736002,0.41800263807254256,0.1515750305392205,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,0.23726456449290428,0.5188450402815208,0.5863790394105804,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.827153161323226
1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.5122896543897852,0.1677271261736002,0.09482129049600846,0.41824646601161225,2.695607452652432,-0.28241038748618436,-0.5610976732159475,-0.26932734347843207,-0.14455682625184585,0.5315479483012568,-0.19941844907550824,-0.813160968782149,-1.4667051795436286,-1.3753557699357195,0.827153161323226
1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.4303141814613389,-0.3007790584692037,-0.5122896543897852,-0.5501298291879028,0.09482129049600846,0.28060959609037783,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.5226232974641002,0.18714410701483747,0.4036087357128356,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.827153161323226
1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20714974314939588,-0.5621044160605055,-0.3007790584692037,0.2941040232549079,0.1677271261736002,0.41800263807254256,0.47330121398010583,-0.19925050839486966,-0.28241038748618436,0.3496695644679096,-0.26932734347843207,0.5188450402815208,0.6690826018338102,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.43602818539088717
1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.2985239468621722,-0.3007790584692037,-0.10909281556743866,1.603441036896606,0.09482129049600846,0.2511159811072563,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,2.2636321963782495,0.18714410701483747,0.0654836738720076,-0.19941844907550824,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,0.3708406894021643
1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.4303141814613389,0.5464966847130677,-0.10909281556743866,-0.31084417740073506,0.41800263807254256,0.4526556834919211,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,0.23726456449290428,-0.14455682625184585,0.6083114758543097,-0.19941844907550824,-1.0008591909407751,0.12437241424395824,1.5454321430183269,0.827153161323226
1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.6938946506596722,-0.3007790584692037,-0.5122896543897852,0.1677271261736002,-0.5515414046570598,0.14297272616914347,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.016031389492763892,-0.8079586927852125,0.6275023577425728,-0.19941844907550824,-1.0008591909407751,0.12437241424395824,1.5454321430183269,-0.2679967712873224
1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.5621044160605055,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,0.41800263807254256,0.41824646601161225,-0.19925050839486966,-0.28241038748618436,-0.10571405437401896,-0.016031389492763892,0.5188450402815208,0.7954225742648758,-0.19941844907550824,0.3130283641696075,-0.5265229650327818,0.7877013420709726,0.827153161323226
1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,1.4147491029269945,-0.3007790584692037,-0.5122896543897852,-0.5501298291879028,0.09482129049600846,0.3631917180431186,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,0.23726456449290428,0.18714410701483747,0.613794584965242,-0.19941844907550824,0.8761230306454858,-1.1050966355009952,0.34716017872948746,0.827153161323226
1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,1.8101198067244946,-0.3007790584692037,0.2941040232549079,-0.31084417740073506,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,0.3496695644679096,-0.26932734347843207,-1.1396596260518959,-0.04417850834663922,-0.19941844907550824,-1.0008591909407751,0.12437241424395824,1.5454321430183269,-1.9107216702031449
1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5540051270274544,2.6008612143194947,-0.3007790584692037,-0.5122896543897852,-1.9858437399109086,-1.5210854473866622,-2.1968540624918433,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-2.042399021378109,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,-1.4888745685532032,0.9922329199462785,0.14010583195898943,-1.9107216702031449
1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,4.182344029509495,-0.3007790584692037,-0.5122896543897852,0.40701277796076785,-1.197904099810128,-0.13230101367332567,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.016031389492763892,-0.8079586927852125,0.3396391294186248,2.4538964944133594,1.7395348525751653,-0.6711663826498351,-0.40616521058445215,-1.3631467038978706
4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,2.073700275922828,-0.3007790584692037,-0.5122896543897852,-0.07155852561356744,0.09482129049600846,0.0741542912085261,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.7759192514497684,0.18714410701483747,0.26287560186557196,-0.19941844907550824,-1.4888745685532032,0.9922329199462785,0.14010583195898943,0.827153161323226
1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5540051270274544,-0.4303141814613389,0.5464966847130677,-0.10909281556743866,1.1248697333222708,-0.5515414046570598,0.21179116112976049,-0.19925050839486966,0.23881762846662316,-0.10571405437401896,0.7438564724642406,-0.47625775951852917,0.3396391294186248,-0.19941844907550824,0.3130283641696075,-0.5265229650327818,0.7877013420709726,-0.5417842544399595
1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4906143536799465,-0.6938946506596722,-0.3007790584692037,-0.10909281556743866,-0.5501298291879028,-0.22836005708052565,0.4354510747517667,-0.19925050839486966,-0.28241038748618436,-0.5610976732159475,-0.7759192514497684,-1.471360559318579,-1.9632666971729593,-0.19941844907550824,0.42564729746478275,1.787771716840072,-0.7497873179908104,-0.08547178251889774
